injected.js:27 [DEBUG Blur Logic] {submissionId: '1eb3a8aa-81b7-405c-aaa3-43459b1be06b', currentUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', submissionUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', isCreator: true, promptForSale: true, …}
injected.js:27 [DEBUG Blur Logic] {submissionId: '1eb3a8aa-81b7-405c-aaa3-43459b1be06b', currentUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', submissionUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', isCreator: true, promptForSale: true, …}
injected.js:27 [DEBUG Blur Logic] {submissionId: '1eb3a8aa-81b7-405c-aaa3-43459b1be06b', currentUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', submissionUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', isCreator: true, promptForSale: true, …}
injected.js:27 [DEBUG Blur Logic] {submissionId: '1eb3a8aa-81b7-405c-aaa3-43459b1be06b', currentUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', submissionUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', isCreator: true, promptForSale: true, …}
injected.js:27 [DEBUG Blur Logic] {submissionId: '1eb3a8aa-81b7-405c-aaa3-43459b1be06b', currentUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', submissionUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', isCreator: true, promptForSale: true, …}
injected.js:27 [DEBUG Blur Logic] {submissionId: '1eb3a8aa-81b7-405c-aaa3-43459b1be06b', currentUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', submissionUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', isCreator: true, promptForSale: true, …}
injected.js:27 [DEBUG Blur Logic] {submissionId: '1eb3a8aa-81b7-405c-aaa3-43459b1be06b', currentUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', submissionUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', isCreator: true, promptForSale: true, …}
injected.js:27 [DEBUG Blur Logic] {submissionId: '1eb3a8aa-81b7-405c-aaa3-43459b1be06b', currentUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', submissionUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', isCreator: true, promptForSale: true, …}
injected.js:27 [DEBUG Blur Logic] {submissionId: '1eb3a8aa-81b7-405c-aaa3-43459b1be06b', currentUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', submissionUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', isCreator: true, promptForSale: true, …}
injected.js:27 [DEBUG Blur Logic] {submissionId: '1eb3a8aa-81b7-405c-aaa3-43459b1be06b', currentUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', submissionUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', isCreator: true, promptForSale: true, …}
injected.js:27 [DEBUG Blur Logic] {submissionId: '1eb3a8aa-81b7-405c-aaa3-43459b1be06b', currentUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', submissionUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', isCreator: true, promptForSale: true, …}
injected.js:27 [DEBUG Blur Logic] {submissionId: '1eb3a8aa-81b7-405c-aaa3-43459b1be06b', currentUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', submissionUserId: '8bfae1ae-c7a9-4d7c-8dfe-f9d0296c3539', isCreator: true, promptForSale: true, …}
